# language_name: Pashto
# code: pashto
# iso639: pus
# script: Perso-Arabic
# speakers: 60M
construct_id,native_keyword,romenagri,note
KW_IF,إذا,izaa,borrowed<arabic
KW_ELSE,وإلا,vaillaa,borrowed<arabic
KW_ELIF,وإلاإذا,vaillaaizaa,borrowed<arabic
KW_WHILE,طالما,taalamaa,borrowed<arabic
KW_DO,افعل,ifaela,borrowed<arabic
KW_FOR,لكل,likulli,borrowed<arabic
KW_BREAK,اكسر,iksira,borrowed<arabic
KW_CONTINUE,استمر,istamirra,borrowed<arabic
KW_SWITCH,بدل,baddila,borrowed<arabic
KW_CASE,حالة,haalah,borrowed<arabic
KW_DEFAULT,افتراضي,iftiraadii,borrowed<arabic
KW_RETURN,أرجع,arjie,borrowed<arabic
KW_GOTO,اذهب,izhaba,borrowed<arabic
KW_VAR,متغير,mutaghayyira,borrowed<arabic
KW_CONST,ثابت,saabita,borrowed<arabic
KW_LET,ليكن,liyakun,borrowed<arabic
KW_INT,صحيح,sahiiha,borrowed<arabic
KW_FLOAT,عائم,aaima,borrowed<arabic
KW_DOUBLE,مزدوج,muzdavija,borrowed<arabic
KW_CHAR,حرف,harfa,borrowed<arabic
KW_BOOL,منطقي,mantiqii,borrowed<arabic
KW_STRING,نص,nassa,borrowed<arabic
KW_VOID,فراغ,faraagha,borrowed<arabic
KW_TRUE,صحيح,sahiiha,borrowed<arabic
KW_FALSE,خطأ,khataa,borrowed<arabic
KW_NULL,عدم,adama,borrowed<arabic
KW_FUNC,دالة,daalah,borrowed<arabic
KW_PROC,إجراء,ijraaa,borrowed<arabic
KW_CALL,نادي,naadii,borrowed<arabic
KW_PARAM,معامل,muaamila,borrowed<arabic
KW_LAMBDA,مجهول,majhuula,borrowed<arabic
KW_YIELD,أنتج,antija,borrowed<arabic
KW_AWAIT,انتظر,intazira,borrowed<arabic
KW_ASYNC,غيرمتزامن,ghaerumutazaamina,borrowed<arabic
KW_CLASS,صنف,sanfa,borrowed<arabic
KW_OBJECT,كائن,kaaina,borrowed<arabic
KW_INTERFACE,واجهة,vaajihah,borrowed<arabic
KW_EXTENDS,يمتد,yamtaddu,borrowed<arabic
KW_IMPLEMENTS,ينفذ,yunaffizu,borrowed<arabic
KW_NEW,جديد,jadiida,borrowed<arabic
KW_THIS,هذا,haazaa,borrowed<arabic
KW_SUPER,أعلى,aelaa,borrowed<arabic
KW_PUBLIC,عام,aamma,borrowed<arabic
KW_PRIVATE,خاص,khaassa,borrowed<arabic
KW_PROTECTED,محمي,mahmii,borrowed<arabic
KW_STATIC,ساكن,saakina,borrowed<arabic
KW_ABSTRACT,مجرد,mujarrada,borrowed<arabic
KW_VIRTUAL,افتراضي,iftiraadii,borrowed<arabic
KW_OVERRIDE,تجاوز,tajaavaza,borrowed<arabic
KW_MATCH,طابق,taabiqa,borrowed<arabic
KW_WHEN,عندما,indamaa,borrowed<arabic
KW_FUN,اقتران,iqtiraana,borrowed<arabic
KW_REC,تكراري,takraarii,borrowed<arabic
KW_IN,في,fii,borrowed<arabic
KW_WHERE,حيث,haysu,borrowed<arabic
KW_DATA,بيانات,bayaanaata,borrowed<arabic
KW_TYPE,نوع,nava,borrowed<arabic
KW_MODULE,وحدة,vihdah,borrowed<arabic
KW_RULE,قاعدة,qaaidah,borrowed<arabic
KW_FACT,حقيقة,haqiiqah,borrowed<arabic
KW_QUERY,استعلام,istielaama,borrowed<arabic
KW_NOT,ليس,laysa,borrowed<arabic
KW_AND,و,va,borrowed<arabic
KW_OR,أو,av,borrowed<arabic
KW_THREAD,خيط,khayta,borrowed<arabic
KW_SPAWN,أنشئ,anshia,borrowed<arabic
KW_LOCK,قفل,qufla,borrowed<arabic
KW_SYNC,متزامن,mutazaamina,borrowed<arabic
KW_CHANNEL,قناة,qanaah,borrowed<arabic
KW_SELECT,اختر,ikhtara,borrowed<arabic
KW_PTR,مؤشر,muashshira,borrowed<arabic
KW_REF,مرجع,marjie,borrowed<arabic
KW_ALLOC,خصص,khassisa,borrowed<arabic
KW_FREE,حرر,harrira,borrowed<arabic
KW_SIZEOF,حجم,hajma,borrowed<arabic
KW_STRUCT,بنية,binyah,borrowed<arabic
KW_UNION,اتحاد,ittihaada,borrowed<arabic
KW_ENUM,تعداد,taedaada,borrowed<arabic
KW_TYPEDEF,تعريفنوع,taeriifanava,borrowed<arabic
KW_VOLATILE,متطاير,mutataayira,borrowed<arabic
KW_REGISTER,سجل,sajjila,borrowed<arabic
KW_EXTERN,خارجي,khaarijii,borrowed<arabic
KW_INLINE,مضمن,mudammana,borrowed<arabic
KW_ENTITY,كيان,kayaana,borrowed<arabic
KW_ARCH,معمارية,maemaariyah,borrowed<arabic
KW_SIGNAL,إشارة,ishaarah,borrowed<arabic
KW_PORT,منفذ,manfaza,borrowed<arabic
KW_WIRE,سلك,silka,borrowed<arabic
KW_REG,مسجل,musajjila,borrowed<arabic
KW_MODULE_HW,قطعة,qitaah,borrowed<arabic
KW_ALWAYS,دائما,daaiman,borrowed<arabic
KW_ASSIGN,عين,ayyina,borrowed<arabic
KW_BEGIN,ابدأ,ibdaa,borrowed<arabic
KW_END,انته,intahi,borrowed<arabic
KW_TRY,حاول,haavila,borrowed<arabic
KW_CATCH,امسك,imsika,borrowed<arabic
KW_FINALLY,أخيرا,akhiiran,borrowed<arabic
KW_THROW,ارم,irmi,borrowed<arabic
KW_RAISE,ارفع,irfae,borrowed<arabic
KW_EXCEPT,استثناء,istisnaaa,borrowed<arabic
KW_IMPORT,استورد,istavrida,borrowed<arabic
KW_EXPORT,صدر,saddira,borrowed<arabic
KW_PACKAGE,حزمة,huzmah,borrowed<arabic
KW_NAMESPACE,نطاق,nitaaqa,borrowed<arabic
KW_USE,استخدم,istakhdima,borrowed<arabic
KW_INCLUDE,ضمن,dammina,borrowed<arabic
KW_FROM,من,min,borrowed<arabic
KW_AS,كـ,ka,borrowed<arabic
KW_KERNEL,نواة,navaah,borrowed<arabic
KW_DEVICE,جهاز,jahaaza,borrowed<arabic
KW_HOST,مضيف,mudiifa,borrowed<arabic
KW_GLOBAL,عام,aamma,borrowed<arabic
KW_SHARED,مشترك,mushtaraka,borrowed<arabic
KW_THREADIDX,معرفخيط,muarrifkhayta,borrowed<arabic
KW_BLOCKIDX,معرفكتلة,muarrifkutlah,borrowed<arabic
KW_GRID,شبكة,shabakah,borrowed<arabic
KW_BARRIER,حاجز,haajiza,borrowed<arabic
KW_ATOMIC,ذري,zarrii,borrowed<arabic
KW_WARP,التواء,iltivaaa,borrowed<arabic
KW_TENSOR,موتر,mautira,borrowed<arabic
KW_MATRIX,مصفوفة,masfuufah,borrowed<arabic
KW_VECTOR,متجه,muttajiha,borrowed<arabic
KW_GRAD,تدرج,tadarruja,borrowed<arabic
KW_BACKPROP,انتشارخلفي,intishaarakhalfii,borrowed<arabic
KW_FORWARD,أمامي,amaamii,borrowed<arabic
KW_LAYER,طبقة,tabaqah,borrowed<arabic
KW_MODEL,نموذج,namuuzaja,borrowed<arabic
KW_TRAIN,تدريب,tadriiba,borrowed<arabic
KW_INFER,استدلال,istidlaala,borrowed<arabic
KW_LOSS,خسارة,khasaarah,borrowed<arabic
KW_OPTIMIZE,تحسين,tahsiina,borrowed<arabic
KW_ACTIVATION,تنشيط,tanshiita,borrowed<arabic
KW_WEIGHT,وزن,vazna,borrowed<arabic
KW_BIAS,انحياز,inhiyaaza,borrowed<arabic
KW_EPOCH,حقبة,huqbah,borrowed<arabic
KW_BATCH,دفعة,dufaah,borrowed<arabic
KW_DATASET,مجموعةبيانات,majmuuabayaanaata,borrowed<arabic
